ean;descripcion;marca;n_sucursales;n_cadenas;precio_mediano;coicop_sugerido;rubro_sugerido;coicop_subclase
7798147780062;FRAMBUESAS BANADAS EN CHOCO AMAR BLAN FRANUI X 150;FRANUI;465;10;8499.0;;;01.1.6
7622201818739;TABLETA DE CHOCOLATE TRES SUENOS CADBURY X 82 GRS;CADBURY;464;10;7930.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7798147783223;FRAMBUESAS BANADAS EN CHOCO FRANUI POTE X150 GRS;FRANUI;464;10;8445.0;;;01.1.6
7622201818654;TABLETA DE CHOCOLATE CON YOGUR CADBURY X 29 GRS;CADBURY;450;10;2659.0;01.1.4;Leche, productos lácteos y huevos;
7791293049519;DESOD ANTITRANSPIRAN;REXONA;435;10;4889.0;;;
7791293049472;DEO AEROS FUTBOL MEN;REXONA;385;10;4888.99;;;
7790957000538;ALFAJOR CHOCO BLANCO GLACE JORGITO BANDEJA X 6 UNI;JORGITO;337;10;4105.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7891000379073;OBLEA CHOCOLATE DARK;KITKA;326;10;2630.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.1
7797453001458;CHOCOLATE M&M MANI X 49 GR;M & M;233;10;4800.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.6
7790742167101;QUESO CHEDDAR LA SERENISIMA FETEADO 150 GRS;LA SERENISIMA;201;10;5869.0;01.1.4;Leche, productos lácteos y huevos;
7622300424084;CHOCOLATE SHOT TABLETON TAB 170 GRM;SHOT;155;10;10520.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7792799000035;AGUA MINERAL CON GAS ECO D.LOS ANDES BOT 500 CC;ECO DE LOS ANDES;153;10;2095.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7792360094968;CAFE EN SAQUIT INTEN;BONAFIDE;748;9;6060.0;01.2.1;Café, té, yerba y cacao;
7794626010842;PROTEC LEVE ANTIBACT;PLENI;724;9;4543.5;;;
7790010002943;ACEITE PURO;JOHNS;719;9;5907.0;01.1.5;Aceites, grasas y manteca;
7791290795778;DESIFECTANTE AER ORI;CIF;717;9;4600.0;;;
7790070418425;BIZCOCHO ARROZ DULCE;GALLO;698;9;3600.0;01.1.1;Pan y cereales;
